TreeID,qLegalStatus,qSpecies,qAddress,SiteOrder,qSiteInfo,qCaretaker,PlantDate,DBH,PlotSize,Latitude,Longitude,plantDate
17707.0,DPW Maintained,Tristaniopsis laurina 'Elegant' :: Small-leaf Tristania 'Elegant',1195X Pierce St,3.0,Sidewalk: Curb side : Cutout,DPW,2012-03,3.0,4x4,37.7809344,-122.4356885,2012-03-21 00:00:00
98849.0,DPW Maintained,Lagunaria patersonii :: Primrose Tree,1795X 31st Ave,2.0,Sidewalk: Curb side : Cutout,Private,2012-04,1.0,3x3,37.75391761,-122.4896816,2012-04-11 00:00:00
98845.0,DPW Maintained,Olea europaea 'Fruitless' :: Fruitless Olive,2400 Noriega St,1.0,Sidewalk: Curb side : Cutout,Private,2012-04,2.0,3x3,37.75380514,-122.4896395,2012-04-11 00:00:00
98846.0,DPW Maintained,Olea europaea 'Fruitless' :: Fruitless Olive,2400 Noriega St,3.0,Sidewalk: Curb side : Cutout,Private,2012-04,2.0,3x3,37.75380514,-122.4896395,2012-04-11 00:00:00
106989.0,DPW Maintained,Prunus serrulata :: Ornamental Cherry,1737-1795 Post St,12.0,Sidewalk: Curb side : Cutout,DPW,2012-04,2.0,,37.78544049,-122.4301859,2012-04-01 00:00:00
42954.0,DPW Maintained,Lophostemon confertus :: Brisbane Box,2799 Pacific Ave,4.0,Sidewalk: Curb side : Cutout,Private,2012-04,4.0,3x3,37.79250173,-122.4408869,2012-04-03 00:00:00
14446.0,DPW Maintained,Tristaniopsis laurina :: Swamp Myrtle,100 Masonic Ave,3.0,Sidewalk: Curb side : Cutout,Private,2012-05,3.0,3x3,37.78042679,-122.447294,2012-05-11 00:00:00
96209.0,DPW Maintained,Callistemon viminalis :: Weeping Bottlebrush,201X Diamond St,1.0,Sidewalk: Curb side : Cutout,SFUSD,2012-05,3.0,4x4,37.75911346,-122.4369648,2012-05-28 00:00:00
99440.0,DPW Maintained,Magnolia grandiflora :: Southern Magnolia,990X Jamestown Ave,2.0,Sidewalk: Curb side : Cutout,Private,2012-05,3.0,3x10,37.718223,-122.393079,2012-05-14 00:00:00
29442.0,DPW Maintained,Lophostemon confertus :: Brisbane Box,2225 Ingalls St,1.0,Sidewalk: Curb side : Cutout,DPW,2012-05,3.0,2x2,37.72515149,-122.3874443,2012-05-22 00:00:00
99378.0,DPW Maintained,Eriobotrya deflexa :: Bronze Loquat,1590 Yosemite Ave,1.0,Sidewalk: Curb side : Cutout,Private,2012-05,1.0,3x3,37.72641898,-122.3906398,2012-05-09 00:00:00
98154.0,DPW Maintained,Laurus nobilis :: Sweet Bay: Grecian Laurel,466 15th Ave,2.0,Sidewalk: Curb side : Cutout,Private,2012-05,1.0,,37.77937774,-122.4738029,2012-05-09 00:00:00
4364.0,DPW Maintained,Pyrus kawakamii :: Evergreen Pear,16X Burnside Ave,2.0,Sidewalk: Curb side : Cutout,DPW,2012-05,3.0,3x3,37.73525672,-122.4382136,2012-05-23 00:00:00
98993.0,DPW Maintained,Ulmus parvifolia :: Chinese Elm,1919 Union St,1.0,Sidewalk: Curb side : Cutout,Private,2012-05,1.0,3x3,37.79761029,-122.4308815,2012-05-01 00:00:00
38712.0,DPW Maintained,Magnolia grandiflora 'Little Gem' :: Little Gem Magnolia,2000 McAllister St,1.0,Sidewalk: Curb side : Cutout,Private,2012-05,1.0,,37.77699656,-122.4451073,2012-05-16 00:00:00
